job_title,job_group,min_salary,max_salary,salary_unit,city,district
Nhân Viên Triển Khai Phần Mềm,IT,8000000.0,12000000.0,VND,Hà Nội,Hai Bà Trưng
Java Developer | T9139,IT,,35000000.0,VND,Hà Nội,Cầu Giấy
Mobile Developer (React Native),IT,,,,Hồ Chí Minh,
Chuyên Viên Kiểm Soát Chất Lượng Giảng Dạy [Quận 1/HCM],Business,7000000.0,12000000.0,VND,Hồ Chí Minh,Quận 1
Lập Trình Viên IOS (Làm Việc Tại Tp. HCM),IT,,,,Hồ Chí Minh,Quận 3
Lập Trình Viên AI-Ocr,IT,,,,Hà Nội,Cầu Giấy
Thực Tập Lập Trình AI/Xử Lý Ảnh,IT,,,,Hà Nội,Cầu Giấy
UI/ UX Designer In Can Tho,Business,10000000.0,,VND,Cần Thơ,Ninh Kiều
Thực Tập Lập Trình C/C++ (Phát Triển Ứng Dụng AI),IT,,,,Hà Nội,Cầu Giấy
Java Dev (Fullstack - Up To 2000$ Gross),IT,,2000.0,USD,Hồ Chí Minh,Phú Nhuận
Tester (Không Yêu Cầu Tiếng Anh - 2.5+ Kinh Nghiệm Trở Lên),IT,,1500.0,USD,Hồ Chí Minh,Tân Bình
Automation Tester,IT,,,,Hà Nội,Hai Bà Trưng
Lập Trình Viên Bigdata (Lương Upto 60 Triệu),IT,35000000.0,60000000.0,VND,Hà Nội,Nam Từ Liêm
Lập Trình Viên Bigdata ( Ngành CNTT - Lương Upto 60M),IT,35000000.0,60000000.0,VND,Hà Nội,Nam Từ Liêm
Kỹ Sư Quản Trị Hệ Thống Công Nghệ Thông Tin,Business,18000000.0,22000000.0,VND,Hà Nội,Thạch Thất
Project Manager,Business,,3000.0,USD,Hà Nội,Nam Từ Liêm
Business Analyst,Business,,3000.0,USD,Hà Nội,Nam Từ Liêm
Java Developer (English),IT,,2000.0,USD,Hà Nội,Cầu Giấy
Fresher Backend Java,Business,2000000.0,10000000.0,VND,Hà Nội,Cầu Giấy
"Nhân Viên Phát Triển Phần Mềm ( Không Yêu Cầu Kinh Nghiệm,Chấp Nhận Sinh Viên Mới Ra Trường)",Business,10000000.0,25000000.0,VND,Hà Nội,
Java Teamleader,IT,,45000000.0,VND,Hà Nội,
Senior Java Developer,IT,,,,Hà Nội,
Playable Ads Developer,IT,15000000.0,30000000.0,VND,Hà Nội,Đống Đa
Lập Trình Viên Frontend,IT,,,,Hồ Chí Minh,"Quận 2, Quận 12"
Nhân Viên Video Editor (Lương Từ 7 - 12 Triệu),IT,,12000000.0,VND,Hà Nội,Hoàng Mai
Quality Assurance (Testing Manager),Business,,,,Hồ Chí Minh,Bình Thạnh
AI Engineer (Nlp),IT,,40000000.0,VND,Hà Nội,Hoàn Kiếm
Nhân Viên Vận Hành Game,Business,10000000.0,16000000.0,VND,Hồ Chí Minh,Tân Bình
Network Engineer (Upto 25 Triệu),IT,,,,Hà Nội,
Senior Java Full Stack Developer,IT,,2000.0,USD,Hà Nội,Thanh Xuân
IT Helpdesk,IT,10000000.0,14000000.0,VND,Hà Nội,Nam Từ Liêm
Lập Trình Viên Back-End Developer,Business,10000000.0,,VND,Hà Nội,Hai Bà Trưng
"Project Manager (IT Outsource Company - Global - From 1,5 Years Of Experience)",Business,,,,Hà Nội,Cầu Giấy
